Id,Product Name,Energy (kcal),Total Fat (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
1617,Cashew Milk,64,1.36,1.76,1.29,8.09,0.33,7.59,0.78,97
1618,Almond Milk,61,7.56,0.23,4.25,2.26,0.67,5.7,0.7,144
1619,Coconut Milk,42,6.69,2.66,1.35,3.96,0.47,3.92,0.8,84
1620,Whole Milk,51,5.53,2.54,5.72,7.26,0.13,2.66,0.9,81
1621,Cashew Milk,63,7.35,4.21,4.34,6.28,0.66,6.99,0.7,133
1622,Soy Milk,68,3.16,4.57,10.51,4.64,0.05,3.12,0.93,149
1623,Almond Milk,65,2.19,4.46,11.55,2.26,0.88,1.13,0.89,109
1624,Cashew Milk,52,4.36,3.58,1.17,4.45,0.51,1.59,0.01,116
1625,Skim Milk,63,3.63,4.19,1.51,3.41,0.84,5.06,0.29,123
1626,2% Milk,80,2.18,0.42,4.49,0.76,0.34,2.86,0.45,117
1627,Coconut Milk,61,1.53,1.56,11.77,9.89,0.2,3.93,0.27,90
1628,Soy Milk,47,5.33,4.28,5.04,9.12,0.7,4.05,0.41,148
1629,Oat Milk,60,1.24,1.02,11.18,5.38,0.94,1.88,0.68,101
1630,Soy Milk,62,7.7,2.95,3.4,7.69,0.31,4.14,0.59,117
1631,Skim Milk,78,3.02,1.88,7.4,6.14,0.94,5.91,0.82,106
1632,2% Milk,74,4.04,3.19,1.08,3.4,0.62,4.25,0.73,82
1633,2% Milk,60,4.98,3.6,8.8,2.69,0.31,1.32,0.99,83
1634,Coconut Milk,45,5.41,1.6,3.89,4.99,0.08,7.8,0.36,87
1635,Cashew Milk,71,4.78,1.24,6.15,2.32,0.79,2.69,0.91,110
1636,Soy Milk,59,5.93,1.96,11.53,3.06,0.39,3.04,0.73,127
1637,Skim Milk,79,4.73,4.03,6.2,1.94,0.05,5.53,0.17,146
1638,Whole Milk,59,0.71,3.81,10.06,2.11,0.88,6.91,0.77,150
1639,Coconut Milk,54,5.41,1.58,5.2,2.0,0.36,3.41,0.92,86
1640,Whole Milk,45,0.92,0.84,5.16,3.75,0.7,4.27,0.19,145
1641,Cashew Milk,68,5.89,2.9,8.29,5.24,0.33,5.01,0.19,91
1642,Soy Milk,67,7.49,2.49,2.62,3.83,0.92,6.05,0.88,87
1643,Cashew Milk,76,3.06,0.24,1.99,1.57,0.24,5.88,0.91,124
1644,Almond Milk,67,6.03,2.35,8.24,1.72,0.64,3.7,0.14,130
1645,Cashew Milk,71,1.54,2.6,6.25,4.95,0.34,5.93,0.12,126
1646,Soy Milk,68,4.7,1.62,10.72,0.54,0.58,1.3,0.26,111
1647,Skim Milk,70,3.43,4.59,5.03,2.49,0.93,3.74,0.27,117
1648,Almond Milk,73,7.96,1.99,3.38,4.87,0.08,2.44,0.36,140
1649,Soy Milk,75,2.78,2.72,2.77,0.77,0.85,6.7,0.24,121
1650,Oat Milk,42,7.32,3.4,5.08,4.04,0.5,7.36,0.97,90
1651,Oat Milk,54,3.12,1.89,2.9,1.56,0.86,6.61,0.06,143
1652,Oat Milk,47,7.43,2.24,10.32,4.77,0.81,5.51,0.07,81
1653,Whole Milk,44,3.05,2.86,8.8,8.06,0.73,7.51,0.27,115
1654,Skim Milk,59,2.89,4.09,3.11,1.09,0.17,4.29,0.54,114
1655,Oat Milk,80,1.14,4.97,4.94,8.75,0.27,2.7,0.73,87
1656,Oat Milk,72,6.4,1.66,1.85,4.05,0.05,6.84,0.56,102
1657,2% Milk,74,2.53,3.71,5.94,9.95,0.72,7.65,0.66,129
1658,Skim Milk,76,6.48,0.52,11.43,4.07,0.91,6.9,0.16,129
1659,2% Milk,57,4.22,0.1,2.12,2.4,0.59,3.46,0.45,124
1660,Skim Milk,68,0.7,0.66,2.23,4.89,0.51,3.25,0.33,101
1661,Soy Milk,56,4.12,4.3,3.85,7.67,0.47,6.43,0.56,97
1662,Whole Milk,74,7.43,2.36,11.1,3.92,0.21,5.1,0.73,105
1663,2% Milk,61,2.87,0.1,2.2,4.36,0.16,6.55,0.75,122
1664,Cashew Milk,70,0.87,2.27,1.08,1.07,0.95,5.93,0.37,144
1665,Coconut Milk,57,2.01,3.01,9.05,9.41,0.53,5.37,1.0,91
1666,Whole Milk,46,1.37,4.22,2.44,3.67,0.8,3.82,0.27,112
1667,Skim Milk,73,6.04,4.37,4.18,2.95,0.09,4.44,0.9,148
1668,Whole Milk,48,5.15,2.86,6.87,5.43,0.92,7.65,0.51,91
1669,Almond Milk,70,5.1,4.18,7.29,8.33,0.56,7.71,0.61,95
1670,Almond Milk,52,2.99,3.67,6.88,6.97,0.27,1.62,0.57,97
1671,Cashew Milk,62,0.85,4.9,4.2,8.82,0.79,5.09,0.78,109
1672,Coconut Milk,71,5.93,2.58,2.86,1.13,0.9,4.65,0.33,146
1673,Whole Milk,59,6.76,2.64,8.18,2.31,0.56,6.31,0.91,124
1674,Coconut Milk,63,0.56,1.41,4.25,4.96,0.27,5.99,0.77,92
1675,Coconut Milk,77,2.57,3.41,10.22,0.64,0.51,1.2,0.49,105
1676,Whole Milk,44,4.12,4.79,1.77,1.98,0.98,5.09,0.28,107
1677,2% Milk,50,1.0,2.77,7.6,3.89,0.05,3.51,0.51,115
1678,Coconut Milk,60,5.28,1.05,3.02,3.82,0.65,2.69,0.8,112
1679,Oat Milk,46,7.47,0.33,9.59,6.85,0.93,7.86,0.6,112
1680,Almond Milk,75,2.38,0.75,10.71,8.09,0.3,6.51,0.36,83
1681,Oat Milk,60,2.88,3.48,3.34,4.19,0.81,7.01,0.52,120
1682,2% Milk,69,3.02,2.8,1.75,6.19,0.1,1.56,0.51,121
1683,Coconut Milk,43,6.12,3.09,5.19,7.62,0.67,4.39,0.59,140
1684,Whole Milk,75,3.55,2.68,8.57,6.24,0.41,4.52,0.94,83
1685,Coconut Milk,56,5.69,2.79,3.86,2.86,0.27,3.88,0.69,89
1686,Oat Milk,50,1.07,1.27,10.28,9.87,0.91,1.14,0.04,111
1687,Skim Milk,77,7.34,3.28,11.73,0.8,0.91,5.59,0.57,148
1688,Soy Milk,47,1.91,1.74,6.32,5.67,0.82,4.34,0.07,96
1689,Soy Milk,60,7.81,3.15,8.93,7.0,0.97,4.84,0.01,137
1690,Skim Milk,49,4.63,0.34,4.28,9.37,0.32,4.38,0.89,81
1691,Skim Milk,66,6.87,1.41,8.67,3.69,0.86,1.82,0.11,106
1692,Cashew Milk,71,6.8,3.82,3.04,2.54,0.28,4.96,0.16,134
1693,Cashew Milk,79,3.14,4.95,10.98,6.57,0.33,2.3,0.45,150
1694,2% Milk,67,1.78,2.42,2.26,4.65,0.71,5.65,0.95,86
1695,Skim Milk,73,3.66,0.67,7.28,3.46,0.52,5.86,0.84,96
1696,Almond Milk,59,5.38,1.21,5.75,0.57,0.77,6.65,0.44,140
1697,Soy Milk,77,7.34,2.3,2.19,3.56,0.88,2.05,0.61,103
1698,Soy Milk,57,2.17,4.16,9.85,0.66,0.88,3.62,0.7,150
1699,Almond Milk,42,5.71,2.18,4.38,3.56,0.72,1.64,0.08,101
1700,Whole Milk,43,0.57,4.66,5.41,1.2,0.94,6.16,0.2,136
1701,2% Milk,59,3.98,1.84,1.75,9.54,0.57,1.3,0.48,88
1702,Coconut Milk,57,6.39,2.75,4.3,3.98,0.94,2.97,0.93,132
1703,Soy Milk,53,2.97,1.11,9.62,9.1,0.0,3.67,0.03,116
1704,Cashew Milk,67,1.49,2.3,7.07,7.98,0.71,5.27,0.41,131
1705,Oat Milk,71,1.55,1.56,3.58,9.56,1.0,1.69,0.51,129
1706,2% Milk,67,6.09,3.06,2.58,6.74,0.96,1.27,0.64,86
1707,Whole Milk,74,3.55,4.78,11.06,8.3,0.6,6.09,0.46,106
1708,Oat Milk,55,6.58,2.08,7.58,8.86,0.3,6.42,0.37,81
1709,2% Milk,62,3.2,0.13,4.22,6.47,0.76,4.35,0.48,115
1710,Skim Milk,59,6.22,4.83,2.11,0.81,0.68,5.01,0.99,99
1711,2% Milk,45,1.12,2.63,1.82,7.35,0.56,6.35,0.61,124
1712,Coconut Milk,49,1.49,0.7,5.88,5.67,0.7,1.45,0.54,82
1713,Oat Milk,55,6.62,1.32,9.85,5.78,0.74,4.34,0.9,115
1714,Whole Milk,65,1.69,3.48,6.59,6.46,0.78,2.67,0.73,122
1715,Coconut Milk,50,4.34,3.86,10.61,9.61,0.51,7.07,0.31,106
1716,2% Milk,70,4.31,2.04,5.89,1.87,0.03,7.88,0.45,113
1717,2% Milk,61,7.48,4.46,8.42,1.96,0.97,5.11,0.78,80
1718,Soy Milk,66,3.49,4.1,10.74,1.93,0.51,3.25,0.01,102
1719,Skim Milk,62,2.18,1.07,3.76,0.57,0.53,4.26,0.0,94
1720,2% Milk,48,5.86,2.17,1.21,4.48,0.37,4.68,0.37,136
1721,Whole Milk,47,3.16,1.67,2.87,8.98,0.37,7.92,0.65,146
1722,Almond Milk,47,7.93,3.48,5.24,9.22,0.35,5.14,0.99,100
1723,Skim Milk,68,3.63,3.84,10.97,6.66,0.98,6.69,0.1,141
1724,Soy Milk,80,7.31,3.49,6.92,4.11,0.77,2.91,0.99,118
1725,Skim Milk,46,4.69,3.66,11.85,0.79,0.09,5.98,0.38,127
1726,Cashew Milk,79,5.26,2.36,9.44,6.03,0.84,6.75,0.35,84
1727,2% Milk,79,7.04,0.43,7.01,6.37,0.49,7.04,0.43,101
1728,Cashew Milk,78,6.29,3.69,2.53,6.3,0.8,2.22,0.75,132
1729,Almond Milk,58,0.54,1.07,5.44,8.59,0.22,1.36,0.9,146
1730,Soy Milk,55,0.83,1.49,1.72,3.67,0.45,4.79,0.65,142
1731,Cashew Milk,46,3.4,2.14,11.66,4.94,0.67,1.89,0.79,148
1732,Cashew Milk,63,4.81,3.64,3.03,6.3,0.98,6.18,0.85,115
1733,Cashew Milk,40,2.37,1.42,8.04,3.45,0.02,2.77,0.42,130
1734,Whole Milk,60,4.31,4.7,8.97,5.19,0.88,1.32,0.26,103
1735,Oat Milk,54,5.39,4.02,1.75,7.49,0.01,6.03,0.17,80
1736,2% Milk,58,1.03,0.89,3.11,0.69,0.36,4.72,0.6,110
1737,Coconut Milk,78,6.27,3.37,1.98,1.09,0.16,7.55,0.74,118
1738,2% Milk,66,3.29,2.77,9.83,5.12,0.59,1.78,0.05,110
1739,Oat Milk,54,0.86,0.32,5.88,7.25,0.47,2.25,0.75,87
1740,Cashew Milk,67,1.72,1.27,1.57,2.48,0.5,7.62,0.0,98
1741,Coconut Milk,77,6.1,4.78,9.58,8.71,0.74,3.21,0.64,102
1742,Almond Milk,41,6.76,0.26,2.33,6.52,0.84,2.73,0.64,139
1743,Whole Milk,70,4.69,4.12,5.75,6.76,0.77,2.91,0.76,131
1744,Almond Milk,59,3.4,4.48,4.86,4.43,0.3,5.05,0.15,84
1745,Whole Milk,60,6.37,4.7,6.69,1.54,0.53,7.76,0.2,109
1746,Oat Milk,62,5.42,0.39,8.18,2.51,0.25,7.6,0.94,118
1747,Soy Milk,63,4.28,2.79,2.88,5.14,0.09,3.42,0.4,94
1748,2% Milk,49,3.61,3.07,8.15,5.75,0.43,4.33,0.45,142
1749,Oat Milk,69,1.04,0.14,6.81,8.97,0.07,2.42,0.11,130
1750,Skim Milk,48,1.72,3.16,10.08,5.62,0.56,4.16,0.39,104
1751,Skim Milk,48,1.96,2.27,8.89,6.68,0.55,7.64,0.22,119
1752,2% Milk,67,2.59,0.52,1.78,9.09,0.67,5.48,0.67,117
1753,Almond Milk,61,4.19,1.38,8.59,6.43,0.31,2.23,0.34,135
1754,Skim Milk,72,3.64,1.67,2.17,4.19,0.83,2.85,0.6,118
1755,Coconut Milk,76,4.56,2.64,2.47,9.66,0.39,5.64,0.49,109
1756,Cashew Milk,50,6.61,4.6,9.03,8.41,0.39,7.84,0.69,109
1757,Coconut Milk,53,1.45,1.63,11.83,0.99,0.78,3.18,0.09,101
1758,Coconut Milk,69,7.59,0.71,8.6,5.08,0.89,1.91,0.59,100
1759,Oat Milk,78,2.19,3.64,3.76,8.13,0.23,7.0,0.21,103
1760,Skim Milk,72,6.29,2.38,11.22,5.04,0.01,1.86,0.14,91
1761,Cashew Milk,59,3.74,1.91,2.24,6.33,0.4,6.52,0.22,88
1762,Coconut Milk,58,0.89,3.34,8.78,8.8,0.33,6.86,0.02,103
1763,2% Milk,62,7.58,4.01,4.58,9.49,0.32,6.58,0.45,122
1764,Skim Milk,43,2.42,4.83,8.34,2.84,0.14,5.97,0.76,113
1765,Almond Milk,53,3.07,1.74,4.42,5.26,0.45,6.51,0.06,131
1766,Oat Milk,44,7.12,4.74,4.93,8.0,0.24,4.91,0.26,93
1767,Whole Milk,59,5.18,2.36,1.35,4.42,0.31,3.57,0.8,112
1768,Whole Milk,49,4.02,2.42,1.39,5.68,0.14,1.78,0.76,110
1769,Oat Milk,55,1.92,3.94,11.38,3.09,0.13,3.72,0.63,111
1770,Coconut Milk,53,5.85,2.28,9.25,2.01,0.04,4.31,0.41,108
1771,Skim Milk,64,6.27,1.77,5.84,7.22,0.44,1.72,0.81,130
1772,Coconut Milk,61,6.21,2.23,10.35,0.9,0.27,5.25,0.31,129
1773,Soy Milk,54,5.79,4.63,9.92,5.31,0.08,5.4,0.86,142
1774,2% Milk,62,6.33,1.53,8.65,1.17,0.22,1.28,0.35,150
1775,Oat Milk,57,6.58,2.7,8.47,9.09,0.45,4.62,0.6,128
1776,Soy Milk,42,2.36,4.62,7.74,3.94,0.34,3.07,0.35,130
1777,Coconut Milk,45,3.51,4.8,3.63,1.33,0.86,1.1,0.96,142
1778,Soy Milk,66,6.09,0.3,5.9,5.05,0.81,2.34,0.4,141
1779,Cashew Milk,73,7.82,1.57,5.25,7.3,0.08,3.01,0.24,150
1780,Whole Milk,54,6.95,2.05,11.38,7.36,0.06,3.39,0.23,114
1781,Skim Milk,64,1.76,2.78,10.99,5.7,0.4,6.79,0.25,87
1782,2% Milk,67,6.82,1.9,9.05,0.58,0.56,4.41,0.44,115
1783,Oat Milk,44,6.95,3.71,11.29,2.96,0.54,4.9,0.38,107
1784,Whole Milk,43,5.29,0.16,8.84,1.32,0.42,7.24,0.41,105
1785,Skim Milk,73,4.92,2.66,4.55,0.74,0.68,1.38,0.39,94
1786,Coconut Milk,49,1.61,3.96,2.7,4.57,0.35,2.07,0.91,113
1787,Oat Milk,52,6.28,1.63,6.75,6.88,0.32,4.34,0.05,96
1788,Oat Milk,59,3.54,2.3,10.79,9.16,0.09,1.78,0.82,88
1789,Almond Milk,75,1.91,1.05,2.8,2.75,0.8,4.3,0.96,115
1790,Coconut Milk,42,1.85,0.55,2.55,8.81,0.23,6.7,0.84,96
1791,Almond Milk,63,0.82,0.35,3.89,7.22,0.01,3.81,0.09,96
1792,Skim Milk,59,6.08,0.88,6.35,0.63,0.49,3.43,0.76,140
1793,Whole Milk,68,4.17,0.9,10.6,7.38,0.74,7.78,0.63,126
1794,Oat Milk,64,1.54,3.63,4.13,7.81,0.97,4.03,0.52,112
1795,2% Milk,67,2.45,2.84,7.04,9.33,0.08,7.72,0.08,96
1796,Skim Milk,50,6.36,3.2,7.67,6.07,0.2,1.43,0.78,139
1797,2% Milk,64,6.16,1.05,10.65,0.68,0.37,5.11,0.35,89
1798,Coconut Milk,57,2.17,3.29,5.72,4.56,0.79,6.42,0.71,115
1799,2% Milk,78,6.98,2.7,11.3,6.15,0.9,5.31,0.77,106
1800,2% Milk,76,1.52,3.67,7.63,5.27,0.38,2.67,0.75,132
1801,Cashew Milk,62,1.06,1.84,7.31,9.05,0.65,5.95,0.24,111
1802,Skim Milk,76,3.61,4.51,3.81,8.22,0.17,2.63,0.23,119
1803,Oat Milk,47,2.0,4.92,9.44,8.12,0.95,2.61,0.95,116
1804,2% Milk,75,7.19,1.19,2.68,1.72,0.0,5.99,0.93,117
1805,Skim Milk,64,6.79,3.56,3.31,1.52,0.41,2.81,0.52,142
1806,Almond Milk,50,1.76,1.07,9.62,8.59,0.34,7.77,0.99,145
1807,Skim Milk,40,6.84,3.92,2.97,8.14,0.38,5.3,0.8,123
1808,Almond Milk,75,7.1,3.54,5.77,5.0,0.45,6.2,0.58,124
1809,Coconut Milk,62,4.2,2.9,2.1,6.62,0.17,7.59,0.56,129
1810,Whole Milk,60,1.64,4.62,3.04,1.3,0.1,4.94,0.15,115
1811,2% Milk,79,6.07,0.83,10.42,2.68,0.72,3.68,0.77,93
1812,Cashew Milk,51,4.36,1.79,10.33,6.75,0.0,2.54,0.66,90
1813,Whole Milk,62,1.53,2.19,11.91,3.1,0.19,5.21,0.67,114
1814,Cashew Milk,46,4.74,0.64,2.3,2.38,0.79,7.6,0.28,95
1815,Oat Milk,80,2.41,2.62,2.08,4.39,0.45,2.26,0.46,83
1816,Almond Milk,42,7.75,4.78,9.81,2.39,0.91,2.22,0.17,91
1817,Cashew Milk,54,4.82,1.2,2.3,2.05,0.6,3.81,0.58,109
1818,Whole Milk,50,4.49,3.61,6.42,4.55,0.99,7.16,0.62,110
1819,Oat Milk,57,5.47,1.93,6.86,6.71,0.2,6.95,0.15,141
1820,Whole Milk,78,5.42,1.75,5.51,6.09,0.02,5.3,0.79,84
1821,Soy Milk,68,7.4,1.11,1.3,4.06,0.01,4.38,0.45,90
1822,Almond Milk,49,3.11,0.65,10.81,5.12,0.16,3.21,0.79,97
1823,Coconut Milk,66,5.27,3.08,9.51,5.87,0.44,2.92,0.05,104
1824,Almond Milk,63,1.58,4.83,9.7,5.4,0.32,7.02,0.3,124
1825,Coconut Milk,65,7.72,4.35,4.69,0.5,0.1,1.71,0.26,145
1826,Almond Milk,49,2.51,1.17,10.85,4.81,0.52,7.75,0.58,146
1827,Whole Milk,40,3.32,1.17,9.14,6.66,0.35,3.68,0.21,131
1828,Oat Milk,43,1.26,2.17,6.27,9.47,0.3,4.61,0.02,88
1829,Cashew Milk,65,0.72,0.23,8.3,2.73,0.17,2.21,1.0,140
1830,Soy Milk,43,3.62,3.57,10.77,2.4,0.04,7.74,0.48,130
1831,Oat Milk,69,1.53,3.75,1.57,2.93,0.35,6.77,0.01,90
1832,2% Milk,75,4.04,0.69,10.93,5.97,0.8,3.12,0.93,123
1833,Whole Milk,78,7.82,2.77,5.38,8.9,0.94,1.5,0.99,106
1834,Almond Milk,52,5.74,2.21,11.14,1.09,0.2,6.31,0.6,108
1835,Oat Milk,64,3.91,4.11,4.61,5.2,0.97,2.54,0.01,136
1836,2% Milk,65,6.81,0.41,4.68,1.3,0.26,2.2,0.47,106
1837,Soy Milk,74,6.4,1.8,2.49,4.15,0.25,6.37,0.94,127
1838,Coconut Milk,57,1.23,2.79,7.78,3.3,0.39,5.58,0.21,119
1839,Oat Milk,43,7.97,3.53,7.86,2.66,0.82,6.36,0.21,145
1840,Soy Milk,41,3.08,2.53,10.31,4.34,0.37,7.66,0.33,97
1841,Coconut Milk,78,0.58,1.83,6.94,2.27,0.18,3.22,0.83,142
1842,Soy Milk,72,6.76,0.47,10.86,4.65,0.35,4.25,0.2,85
1843,Coconut Milk,64,3.41,2.55,11.26,6.6,0.79,1.11,0.02,150
1844,Cashew Milk,73,6.75,1.67,11.46,8.32,0.74,2.23,0.29,84
1845,Almond Milk,40,7.54,2.59,3.07,3.65,0.01,1.24,0.76,120
1846,Soy Milk,69,2.01,0.48,8.01,6.14,0.58,7.86,0.19,122
1847,Skim Milk,80,7.88,0.69,11.8,4.18,0.1,4.51,0.61,120
1848,Oat Milk,56,1.9,2.12,7.38,7.83,0.67,1.8,0.37,94
1849,2% Milk,72,5.6,4.88,4.92,3.32,0.17,5.94,0.09,86
1850,Almond Milk,40,2.01,2.55,11.54,2.14,0.62,6.0,0.15,147
1851,Oat Milk,54,4.96,0.77,1.11,9.01,0.34,3.75,0.96,136
1852,Oat Milk,78,4.73,1.6,2.98,5.77,0.22,2.85,0.77,142
1853,2% Milk,74,1.84,2.91,5.41,3.03,0.6,7.36,0.2,88
1854,Whole Milk,59,2.03,4.89,7.98,9.25,0.28,6.93,0.75,147
1855,Coconut Milk,74,7.96,0.65,10.91,6.58,0.49,5.09,0.07,144
1856,Cashew Milk,65,7.54,3.84,6.31,0.96,0.93,5.37,0.49,108
1857,Coconut Milk,64,2.01,3.62,5.35,3.28,0.82,1.45,0.13,97
1858,Soy Milk,42,6.67,4.46,3.94,5.24,0.22,6.95,0.58,148
1859,Soy Milk,77,1.61,3.54,10.54,6.08,0.57,3.35,0.45,135
1860,2% Milk,64,4.63,2.61,6.87,6.71,0.76,5.14,0.57,123
1861,Skim Milk,43,2.81,5.0,6.29,5.28,0.13,3.62,0.94,149
1862,Whole Milk,78,0.68,1.99,1.91,5.22,0.41,3.06,0.99,87
1863,Cashew Milk,64,0.63,4.16,5.42,4.08,0.28,7.98,0.47,135
1864,Skim Milk,76,0.93,1.39,2.78,5.96,0.76,7.04,0.2,108
1865,Whole Milk,65,4.24,2.03,10.71,4.99,0.42,3.04,0.1,88
1866,2% Milk,51,2.68,4.55,3.24,2.51,0.39,1.89,0.51,136
1867,Soy Milk,52,7.07,2.98,7.25,7.09,0.39,6.63,0.72,98
1868,Almond Milk,41,2.67,2.84,6.39,9.67,0.66,4.13,0.07,125
1869,Oat Milk,42,3.26,3.32,2.76,6.54,0.66,2.95,0.71,83
1870,Cashew Milk,41,4.56,1.95,9.49,0.81,0.53,2.47,0.32,103
1871,Almond Milk,51,1.34,0.59,5.2,8.1,0.09,5.74,0.81,116
1872,Whole Milk,45,5.66,1.9,2.73,3.78,0.49,6.77,0.28,113
1873,Oat Milk,64,0.5,1.91,7.72,7.64,0.66,6.11,0.42,111
1874,Whole Milk,47,0.83,4.81,1.15,1.81,0.62,1.15,0.3,117
1875,Coconut Milk,63,6.94,1.56,2.25,4.43,0.15,3.39,0.69,139
1876,Whole Milk,55,4.09,1.6,10.3,3.99,0.07,4.68,0.9,143
1877,Cashew Milk,54,1.26,3.75,4.94,6.85,0.42,5.45,0.63,87
1878,Skim Milk,59,7.19,1.65,3.87,4.83,0.99,2.72,0.28,115
1879,2% Milk,59,7.6,1.18,10.12,2.68,0.6,3.43,0.21,137
1880,Whole Milk,66,6.13,3.2,1.38,7.89,0.53,4.65,0.51,124
1881,Whole Milk,67,7.54,3.09,11.47,7.06,0.87,7.64,0.46,98
1882,Oat Milk,78,0.91,4.41,11.58,3.37,0.18,6.09,0.03,108
1883,Almond Milk,60,4.69,0.12,2.75,0.58,0.36,1.23,0.84,121
1884,Skim Milk,61,3.69,1.8,6.85,3.59,0.84,2.98,0.61,129
1885,Cashew Milk,68,1.72,1.55,4.64,3.12,0.15,5.85,1.0,146
1886,Oat Milk,55,2.58,3.08,2.7,3.39,0.84,1.63,0.25,109
1887,2% Milk,60,3.56,3.98,3.03,7.33,0.83,7.44,0.09,116
1888,Skim Milk,75,7.0,4.82,1.51,4.82,0.62,6.38,0.47,88
1889,2% Milk,64,6.13,4.67,1.54,8.12,0.92,6.92,0.94,147
1890,Coconut Milk,71,0.98,4.09,10.74,8.56,0.03,6.34,0.42,112
1891,Oat Milk,59,3.51,0.55,4.5,8.72,0.32,7.86,0.29,127
1892,Whole Milk,44,1.19,2.32,9.0,1.53,0.83,7.91,0.44,100
1893,Cashew Milk,50,6.52,4.84,5.73,9.54,0.17,6.15,0.35,128
1894,Whole Milk,49,0.54,4.57,10.24,0.95,0.1,7.31,0.56,134
1895,Skim Milk,69,1.87,4.75,2.41,3.62,0.16,6.54,0.01,91
1896,Coconut Milk,69,7.06,3.05,6.94,8.48,0.24,2.49,0.49,113
1897,Skim Milk,45,3.13,1.95,7.91,4.81,0.53,7.6,0.02,145
1898,Oat Milk,48,7.54,0.63,4.49,3.17,0.44,5.43,0.31,107
1899,Coconut Milk,70,5.94,1.65,1.56,0.83,0.52,1.5,0.93,113
1900,Soy Milk,66,1.77,4.12,10.1,8.22,0.1,7.35,0.54,145
1901,Whole Milk,53,4.48,0.66,9.61,5.77,0.3,8.0,0.85,115
1902,Whole Milk,53,7.07,3.08,5.84,4.41,0.14,2.85,0.28,100
1903,2% Milk,53,1.18,3.9,5.96,1.85,0.37,3.99,0.18,86
1904,2% Milk,49,7.88,4.57,10.22,1.8,0.38,7.65,0.05,81
1905,Soy Milk,76,0.56,1.17,9.25,8.06,0.21,4.32,0.36,111
1906,Almond Milk,57,7.28,0.16,6.52,9.22,0.79,2.68,0.36,106
1907,2% Milk,47,4.06,2.01,8.6,9.41,0.91,5.98,0.52,122
1908,Almond Milk,51,5.89,3.45,7.44,6.56,0.88,4.27,0.6,92
1909,Coconut Milk,50,1.02,4.49,11.73,2.81,0.72,5.67,0.38,124
1910,2% Milk,61,4.43,0.55,7.3,1.92,0.9,6.46,0.19,96
1911,Skim Milk,75,7.13,2.47,6.71,7.27,0.18,1.19,0.58,87
1912,2% Milk,57,1.9,3.83,1.21,2.19,0.86,5.66,0.29,147
1913,Soy Milk,74,3.28,3.73,4.22,2.85,0.55,5.25,0.1,126
1914,Whole Milk,65,5.42,4.92,1.9,8.88,0.45,6.88,0.5,80
1915,Oat Milk,77,1.35,0.84,11.86,0.92,0.5,7.89,0.68,145
1916,Skim Milk,43,2.81,4.05,10.53,4.66,0.62,5.61,0.03,116
1917,Coconut Milk,55,6.88,0.41,8.14,9.72,0.83,1.33,0.38,116
1918,Skim Milk,42,3.84,4.02,7.26,4.37,0.22,4.5,0.99,143
1919,Almond Milk,66,3.67,4.3,9.58,1.3,0.99,2.31,0.45,113
1920,Cashew Milk,57,1.87,2.88,6.38,9.77,0.07,3.43,0.53,128
1921,2% Milk,47,7.0,0.87,5.27,1.53,0.8,2.99,0.5,122
1922,Soy Milk,68,3.26,2.24,8.24,2.81,0.58,1.53,0.78,122
1923,Almond Milk,68,2.1,2.9,2.46,5.59,0.52,4.72,0.75,136
1924,Coconut Milk,69,4.83,1.79,6.09,2.76,0.42,1.22,0.13,147
1925,Soy Milk,70,3.35,3.36,2.01,0.59,0.27,3.55,0.36,125
1926,Cashew Milk,79,6.8,0.73,5.13,3.94,0.86,7.39,0.35,111
1927,Almond Milk,71,2.66,3.87,8.62,5.32,0.78,6.95,0.42,96
1928,2% Milk,54,2.92,0.17,8.15,4.26,0.85,5.86,0.48,144
1929,Cashew Milk,59,5.46,4.6,2.37,9.61,0.36,7.77,0.89,143
1930,Coconut Milk,67,0.69,4.56,10.37,1.68,0.34,5.84,0.58,145
1931,Cashew Milk,80,4.44,3.52,6.45,8.61,0.9,1.41,0.95,144
1932,Cashew Milk,59,1.59,4.45,9.44,4.63,0.36,2.72,0.03,140
1933,Almond Milk,64,8.0,2.44,2.07,9.8,0.89,7.07,0.92,99
1934,Coconut Milk,77,2.88,0.63,4.51,8.19,0.75,7.27,0.65,114
1935,Whole Milk,47,3.14,0.14,10.33,1.65,0.11,7.55,0.44,109
1936,2% Milk,75,5.81,2.13,11.28,8.6,0.04,5.05,0.24,109
1937,Cashew Milk,73,3.97,1.85,8.27,5.82,0.44,7.7,0.71,108
1938,Oat Milk,53,5.29,0.82,4.71,6.72,0.57,6.62,0.85,90
1939,Almond Milk,61,2.82,1.37,7.22,8.99,0.31,1.97,0.3,83
1940,Skim Milk,66,4.54,0.96,10.64,7.13,0.61,3.23,0.81,122
1941,Cashew Milk,61,7.63,0.33,9.89,1.02,0.26,7.73,0.02,94
1942,2% Milk,42,1.52,2.48,5.77,8.05,0.27,7.37,0.74,89
1943,Almond Milk,77,7.79,0.58,6.68,1.91,0.46,1.63,0.34,81
1944,Skim Milk,67,2.03,2.84,9.46,5.16,0.06,5.99,0.5,119
1945,Coconut Milk,52,6.88,0.91,1.07,9.82,0.39,1.78,0.5,123
1946,Oat Milk,45,2.37,0.23,4.53,9.52,0.29,1.86,0.68,83
